OBJECTID,LAD20CD,LAD20NM,LAD20NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
1,E06000001,Hartlepool, ,447160,531474,-1.27018,54.67614,93767801.4099884,68415.4192873723
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.54467,53858679.0733185,43775.3718645878
3,E06000003,Redcar and Cleveland, ,464361,519597,-1.00608,54.56752,245144063.225769,94926.2555859426
4,E06000004,Stockton-on-Tees, ,444940,518183,-1.30664,54.55691,204902837.690079,118347.998942761
5,E06000005,Darlington, ,428029,515648,-1.56835,54.53534,197485808.735168,105777.871674858
6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,79078623.2158203,76325.5481941411
7,E06000007,Warrington, ,362744,388456,-2.56167,53.39163,180617833.110069,111955.795712642
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4636,53.7008,137059771.4048,63764.6829811126
9,E06000009,Blackpool, ,332819,436635,-3.02199,53.82164,34866800.0596771,33988.7445393672
10,E06000010,"Kingston upon Hull, City of", ,511894,431650,-0.30382,53.7692,71609390.9650879,64237.2671671541
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66195,53.88112,2405189075.15216,496344.875477543
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,192712031.161667,90912.3187017373
13,E06000013,North Lincolnshire, ,497800,410993,-0.52407,53.58643,846517351.259949,240855.486808224
14,E06000014,York, ,460864,452589,-1.07375,53.96582,271943809.593735,100445.711357052
15,E06000015,Derby, ,435609,335375,-1.47189,52.91464,78022266.1156921,49198.6586014441
16,E06000016,Leicester, ,458946,304594,-1.1304,52.63592,73376544.3447113,50729.5832899408
17,E06000017,Rutland, ,492992,308655,-0.6263,52.66765,393739393.103317,120309.056812138
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.95419,74600622.5451965,58004.6533864503
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.08154,2179679358.92921,338787.566783603
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48941,52.71417,290327444.82988,115372.123023437
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.01707,93409467.8303833,62209.892432306
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654,51.35604,351158364.257771,137360.570458013
23,E06000023,"Bristol, City of", ,359990,174846,-3,50,109715143.392132,105857.480188403
24,E06000024,North Somerset, ,347614,166718,-3,50,374609273.38863,148858.93775354
25,E06000025,South Gloucestershire, ,367559,183198,-2,50,497021273.233398,137076.684508469
26,E06000026,Plymouth, ,249945,58255,-4.11297,50.40494,79841810.0446501,87108.8661240916
27,E06000027,Torbay, ,289730,64613,-3.55523,50.47092,62914642.930934,72326.7037377078
28,E06000030,Swindon, ,418551,186564,-1.73367,51.57763,230091714.337257,99592.2987771079
29,E06000031,Peterborough, ,517372,300777,-0.26874,52.59214,343405412.475922,111016.134184158
30,E06000032,Luton, ,508606,222559,-0.42319,51.89102,43359040.1051331,34269.1249342676
31,E06000033,Southend-on-Sea, ,587777,186837,0.706923,51.54917,41659429.088295,52143.3374795924
32,E06000034,Thurrock, ,562123,181590,0.334861,51.50998,163773445.387802,108650.954564221
33,E06000035,Medway, ,578207,175198,0.563174,51.44772,193608881.12072,223869.437974971
34,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.4113,109331486.309494,61821.6730765794
35,E06000037,West Berkshire, ,450575,172095,-1.27364,51.44559,704169271.550446,163471.868812571
36,E06000038,Reading, ,470226,173154,-0.99071,51.45302,40385975.1936646,38621.0874675524
37,E06000039,Slough, ,498920,179246,-0.57617,51.5035,32541141.1581726,43311.3720205337
38,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67541,51.48034,198418678.977585,113808.158754835
39,E06000041,Wokingham, ,476624,169902,-0.89935,51.42296,178974764.762657,85670.9252808001
40,E06000042,Milton Keynes, ,486408,242308,-0.7407,52.07241,308649081.896477,100962.319794768
41,E06000043,Brighton and Hove, ,530279,106850,-0.15079,50.8465,82870750.126049,57873.8335981285
42,E06000044,Portsmouth, ,465619,101352,-1.07006,50.808,40392093.7800446,64390.8641815061
43,E06000045,Southampton, ,442303,113700,-1.39952,50.9212,49856139.7868423,59312.5230796765
44,E06000046,Isle of Wight, ,447183,85949,-1.33366,50.67129,379681894.328445,188733.916421233
45,E06000047,County Durham, ,410381,532242,-1.8405,54.68513,2231477635.68204,308815.963727302
46,E06000049,Cheshire East, ,380510,363462,-2.29299,53.16793,1166353434.744,289446.785741658
47,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298,53.16336,919943769.409737,321207.996988437
48,E06000051,Shropshire, ,350227,302960,-2.73667,52.62212,3197306819.12347,559558.333591347
49,E06000052,Cornwall, ,212497,64493,-4.64254,50.45022,3548705933.69192,1117793.91232297
50,E06000053,Isles of Scilly, ,91327,11447,-6.30217,49.92332,16370558.9448478,102761.813067816
51,E06000054,Wiltshire, ,405209,158863,-1.92661,51.32883,3255367602.37041,394565.608894032
52,E06000055,Bedford, ,505721,256463,-0.45463,52.19628,476378677.238068,129908.872540076
53,E06000056,Central Bedfordshire, ,504615,234492,-0.47754,51.99903,715573724.117798,229112.58392421
54,E06000057,Northumberland, ,395322,600699,-2.07523,55.30037,5030887443.44737,581847.695660637
55,E06000058,"Bournemouth, Christchurch and Poole", ,410815,94066,-1.84807,50.74609,162074674.043804,155562.269929324
56,E06000059,Dorset, ,370871,99796,-2.41467,50.79697,2491005148.66032,555095.440232359
57,E06000060,Buckinghamshire,,482506,208561,-0.80569,51.76966,1564990320.63043,354468.030395635
58,E07000008,Cambridge, ,545420,257901,0.126436,52.20017,40710821.341156,36900.3728382158
59,E07000009,East Cambridgeshire, ,555576,275765,0.283149,52.35788,651262343.32373,231679.4299527
60,E07000010,Fenland, ,536361,294959,0.009016,52.53544,546493762.688065,192504.534887831
61,E07000011,Huntingdonshire, ,521008,274269,-0.2247,52.35315,912555062.954033,220579.919692662
62,E07000012,South Cambridgeshire, ,543295,247586,0.091017,52.10805,901686087.344742,254513.70980286
63,E07000026,Allerdale, ,317520,532997,-3.2809,54.68524,1258207082.8918,314793.214489049
64,E07000027,Barrow-in-Furness, ,321741,474165,-3.1999,54.15731,77821552.7520294,133447.553214376
65,E07000028,Carlisle, ,348576,565154,-2.80498,54.97833,1038261977.98532,270762.188843108
66,E07000029,Copeland, ,310871,508739,-3.37664,54.46617,737545381.026031,240503.467446112
67,E07000030,Eden, ,359636,526396,-2.62678,54.63107,2156535662.7953,264013.003648516
68,E07000031,South Lakeland, ,349265,489555,-2.78108,54.29908,1554776826.20097,370440.465051787
69,E07000032,Amber Valley, ,436166,348084,-1.46219,53.02884,265411700.613861,103841.36920962
70,E07000033,Bolsover, ,448666,371548,-1.27228,53.23875,160346263.090332,93034.7248840122
71,E07000034,Chesterfield, ,440049,373359,-1.40115,53.25575,66025501.556778,51101.4106223216
72,E07000035,Derbyshire Dales, ,419697,358493,-1.70711,53.12326,795432888.8713,237509.436940533
73,E07000036,Erewash, ,443721,338063,-1.3509,52.9382,109630993.976608,71568.4733082186
74,E07000037,High Peak, ,410474,387660,-1.84398,53.38569,540226457.258606,156420.726136761
75,E07000038,North East Derbyshire, ,437369,362955,-1.44253,53.16243,275664418.766708,154897.948108225
76,E07000039,South Derbyshire, ,431443,325363,-1.5348,52.8249,338093721.016342,162378.34545135
77,E07000040,East Devon, ,313790,96050,-3.22359,50.7576,814317642.48156,212449.687145701
78,E07000041,Exeter, ,293239,92005,-3.51368,50.71782,47048780.1229095,48695.1758411118
79,E07000042,Mid Devon, ,288064,108911,-3.59212,50.86882,912826354.797884,238127.152547379
80,E07000043,North Devon, ,265110,132532,-3.92691,51.07621,1085784403.16939,289047.900174997
81,E07000044,South Hams, ,270676,54036,-3.81996,50.37195,886590982.410045,438992.673171935
82,E07000045,Teignbridge, ,283144,80205,-3.65289,50.60981,673755812.027344,184471.987695039
83,E07000046,Torridge, ,244206,114334,-4.21728,50.90739,985291003.19734,296468.19557935
84,E07000047,West Devon, ,256376,86999,-4.03361,50.66489,1161054198.07386,243923.989840288
85,E07000061,Eastbourne, ,559339,99575,0.258516,50.77387,44183915.7783928,36440.6624387922
86,E07000062,Hastings, ,581528,110694,0.578395,50.86724,29805488.1412621,33199.9901118646
87,E07000063,Lewes, ,541474,105686,0.007671,50.83341,292137341.4655,164010.513998939
88,E07000064,Rother, ,578721,119666,0.542937,50.94871,511805301.303547,174558.704008826
89,E07000065,Wealden, ,555048,117180,0.205156,50.93322,834915949.4389,216690.044460522
90,E07000066,Basildon, ,571548,190848,0.475055,51.59036,109968700.569801,77931.3589447617
91,E07000067,Braintree, ,577253,227335,0.575911,51.91634,611703285.087021,164156.082169929
92,E07000068,Brentwood, ,558560,196070,0.290091,51.64108,153140699.968689,70298.8875654884
93,E07000069,Castle Point, ,579490,187920,0.588084,51.56159,44523363.9685745,136672.263954459
94,E07000070,Chelmsford, ,572116,206972,0.491177,51.73503,342222292.756989,123245.839479296
95,E07000071,Colchester, ,596944,223693,0.859777,51.87702,332144292.476982,286175.761884859
96,E07000072,Epping Forest, ,548919,203758,0.154147,51.71279,338971088.450127,120750.49076256
97,E07000073,Harlow, ,545276,209589,0.103888,51.76614,30530203.9901733,27880.7774045821
98,E07000074,Maldon, ,591413,212072,0.773106,51.77458,357514213.295898,415263.159683111
99,E07000075,Rochford, ,585979,191417,0.683442,51.5909,167101805.048943,218251.52313928
100,E07000076,Tendring, ,614190,222141,1.108981,51.85674,336161411.596382,381121.990842763
101,E07000077,Uttlesford, ,557832,228865,0.294485,51.93592,641116042.483047,163608.356674284
102,E07000078,Cheltenham, ,394925,222232,-2.07515,51.89861,46565747.7086334,36708.4919786137
103,E07000079,Cotswold, ,402125,208209,-1.97059,51.77255,1164540291.9432,324305.698986204
104,E07000080,Forest of Dean, ,367175,212759,-2.47755,51.81249,525925971.099705,185340.924094792
105,E07000081,Gloucester, ,384071,216449,-2.23263,51.84641,40546411.7315826,32898.4122367463
106,E07000082,Stroud, ,378807,202410,-2.30818,51.72001,460616973.309799,167756.374562419
107,E07000083,Tewkesbury, ,386347,226279,-2.19998,51.93485,414406215.593079,200133.753895092
108,E07000084,Basingstoke and Deane, ,454508,151423,-1.22021,51.25937,633777186.309971,140453.899229268
109,E07000085,East Hampshire, ,474404,129237,-0.93971,51.05765,514426555.13097,141908.569059714
110,E07000086,Eastleigh, ,447202,116802,-1.32943,50.94872,79682568.5290909,71407.8404701395
111,E07000087,Fareham, ,453774,106319,-1.23742,50.85388,74280173.5972137,62783.080534394
112,E07000088,Gosport, ,458769,101088,-1.16731,50.80636,25366709.4530563,37363.6511820702
113,E07000089,Hart, ,477985,154240,-0.88321,51.28197,215260515.299454,76239.8941998494
114,E07000090,Havant, ,470178,108564,-1.00398,50.87231,55733203.0866432,104219.703569994
115,E07000091,New Forest, ,428748,106521,-1.59293,50.85748,752034233.423691,294630.395066608
116,E07000092,Rushmoor, ,486022,153944,-0.76807,51.27815,39050957.337677,30724.6701908348
117,E07000093,Test Valley, ,434930,137329,-1.50214,51.13417,627613612.318028,187190.281807224
118,E07000094,Winchester, ,453115,125901,-1.24393,51.03002,660981109.873432,168782.344128927
119,E07000095,Broxbourne, ,534742,204251,-0.05073,51.7208,51459622.2493668,38509.0228558253
120,E07000096,Dacorum, ,500084,208745,-0.55098,51.76845,212439075.957176,108872.953656372
121,E07000098,Hertsmere, ,519774,199352,-0.26899,51.68017,101112587.384033,60250.2427878284
122,E07000099,North Hertfordshire, ,522192,230256,-0.22314,51.95738,375374474.341637,165912.675191875
123,E07000102,Three Rivers, ,507313,196418,-0.45005,51.65632,88805312.2649918,73211.6471259175
124,E07000103,Watford, ,510441,198197,-0.40429,51.6717,21403676.4801941,25970.5151133588
125,E07000105,Ashford, ,597640,140644,0.823374,51.13096,580584670.174248,146595.916913847
126,E07000106,Canterbury, ,616032,158096,1.096342,51.28102,308783473.29171,131691.469847305
127,E07000107,Dartford, ,556167,172917,0.245276,51.43373,72711311.8105621,55337.7199668804
128,E07000108,Dover, ,628964,150942,1.276887,51.21176,315311516.820045,144382.951749717
129,E07000109,Gravesham, ,566969,169114,0.398744,51.39649,99016350.3326035,58911.1393027096
130,E07000110,Maidstone, ,580489,151670,0.584061,51.23566,393321211.941765,120170.633007526
131,E07000111,Sevenoaks, ,552776,155218,0.188936,51.27563,370334305.515968,130897.770227921
132,E07000112,Folkestone and Hythe, ,610318,134595,1.000795,51.07213,356983034.762878,146274.547074524
133,E07000113,Swale, ,593583,161818,0.776893,51.32251,373245149.719025,308964.53427358
134,E07000114,Thanet, ,631839,166752,1.328226,51.35252,103596442.816505,61776.2285466686
135,E07000115,Tonbridge and Malling, ,564014,153898,0.349306,51.26064,240109062.79744,129998.095661341
136,E07000116,Tunbridge Wells, ,573139,136599,0.471632,51.10254,331301992.935707,145102.434846001
137,E07000117,Burnley, ,384886,430882,-2.2308,53.77406,110690658.609131,56263.8958384809
138,E07000118,Chorley, ,359189,419724,-2.61921,53.6724,202674556.948364,111145.83316994
139,E07000119,Fylde, ,339554,433811,-2.91914,53.79709,165566140.948547,128673.047688775
140,E07000120,Hyndburn, ,374407,428971,-2.38964,53.75648,73005432.490799,41794.3512336631
141,E07000121,Lancaster, ,356896,464988,-2.6603,54.07901,566762507.240173,322880.81747833
142,E07000122,Pendle, ,387637,443368,-2.18957,53.88636,169369961.863998,77779.2223676609
143,E07000123,Preston, ,352825,436432,-2.71809,53.82202,142288097.531082,80761.7333582175
144,E07000124,Ribble Valley, ,372687,447676,-2.4174,53.9245,584450065.194122,147506.761285311
145,E07000125,Rossendale, ,382827,420955,-2.26149,53.68478,138022945.29892,70163.0255118631
146,E07000126,South Ribble, ,352017,425840,-2.72871,53.72675,113090144.609634,99518.1776219759
147,E07000127,West Lancashire, ,342611,413270,-2.86893,53.61283,346506387.779488,216248.307746686
148,E07000128,Wyre, ,347295,445159,-2.80359,53.89991,282044945.381073,202125.748506785
149,E07000129,Blaby, ,454385,297994,-1.19887,52.57706,130476234.387962,97755.5254543192
150,E07000130,Charnwood, ,458365,316155,-1.13694,52.7399,279022354.608215,112587.162028435
151,E07000131,Harborough, ,474549,293875,-0.90229,52.53766,592727893.133141,178075.52674632
152,E07000132,Hinckley and Bosworth, ,439538,301379,-1.41755,52.60877,297357284.240761,108955.532605107
153,E07000133,Melton, ,477328,323472,-0.8544,52.80329,481364551.025803,136349.927920535
154,E07000134,North West Leicestershire, ,439111,316252,-1.42209,52.7425,279328062.130035,113605.237878469
155,E07000135,Oadby and Wigston, ,461543,299379,-1.093,52.58875,23517256.3746338,30026.1003136775
156,E07000136,Boston, ,526851,343953,-0.11218,52.97794,364846879.823196,152408.861520909
